"cpc_subclass","year","appearance_count","appearance_count_log","alt_count","alt_log","group_count","group_log","yearly_degree","cumulative_degree","yearly_degree_log","cumulative_degree_log","degree","closeness","betweenness","eigenvector","degree_log","closeness_log","betweenness_log","eigenvector_log","funded_count","funded_log","log_economic_output","section","class","closeness_sqrt","eigenvector_sqrt","alt_sqrt"
"A23D",2005,83,4.43081679884331,10,2.39789527279837,21,3.09104245335832,30,30,3.43398720448515,3.43398720448515,60,0,59.6817395197668,0.0179022060776824,4.11087386417331,0,4.10564282117173,0.0177438487571196,21,3.09104245335832,15.2779330577568,"A","A23",0,0.133799125847975,3.16227766016838
"A23F",2005,31,3.46573590279973,10,2.39789527279837,83,4.43081679884331,14,14,2.70805020110221,2.70805020110221,28,0,1.04850883766164,0.00720743231477827,3.36729582998647,0,0.717112132206681,0.007181582905423,3,1.38629436111989,15.3851725951711,"A","A23",0,0.0848965977809374,3.16227766016838
"A23G",2005,497,6.21060007702465,10,2.39789527279837,300,5.70711026474888,64,64,4.17438726989564,4.17438726989564,128,0,628.521503213269,0.0346021882972149,4.85981240436167,0,6.44496001209602,0.0340169936993023,24,3.2188758248682,15.3851725951711,"A","A23",0,0.186016634463735,3.16227766016838
"A23J",2005,60,4.11087386417331,10,2.39789527279837,61,4.12713438504509,25,25,3.25809653802148,3.25809653802148,50,0,58.2645501535885,0.0115422845185014,3.93182563272433,0,4.08201132207978,0.0114761805269975,41,3.73766961828337,15.2290992695295,"A","A23",0,0.10743502463583,3.16227766016838
"A23K",2005,308,5.73334127689775,10,2.39789527279837,71,4.27666611901606,40,40,3.71357206670431,3.71357206670431,80,0,129.62889032749,0.0196764435836668,4.39444915467244,0,4.87236040468699,0.0194853648008804,142,4.96284463025991,15.053918466369,"A","A23",0,0.140272747116704,3.16227766016838
"A23L",2005,1010,6.91869521902047,10,2.39789527279837,436,6.07993319509559,104,104,4.65396035015752,4.65396035015752,208,0,4102.49420431545,0.0549086255102752,5.34233425196481,0,8.31959413469286,0.0534541522863557,457,6.12686918411419,15.1791025492325,"A","A23",0,0.234325895944676,3.16227766016838
"A23N",2005,22,3.13549421592915,10,2.39789527279837,75,4.33073334028633,14,14,2.70805020110221,2.70805020110221,28,0,12.53766030951,0.0080841202082208,3.36729582998647,0,2.60547545414139,0.00805161875472416,3,1.38629436111989,15.2832502279992,"A","A23",0,0.0899117356534774,3.16227766016838
"A23P",2005,72,4.29045944114839,10,2.39789527279837,36,3.61091791264422,41,41,3.73766961828337,3.73766961828337,82,0,195.187834563422,0.0233603218133019,4.4188406077966,0,5.27907253992559,0.0230916456906929,10,2.39789527279837,15.3351423292321,"A","A23",0,0.152840838172597,3.16227766016838
"A24B",2005,36,3.61091791264422,3,1.38629436111989,86,4.46590811865458,13,13,2.63905732961526,2.63905732961526,26,0,29.6390227563363,0.00766757528790172,3.29583686600433,0,3.42227444998831,0.007638328836944,12,2.56494935746154,15.3851725951711,"A","A24",0,0.0875646920162557,1.73205080756888
"A24C",2005,29,3.40119738166216,3,1.38629436111989,117,4.77068462446567,9,9,2.30258509299405,2.30258509299405,18,0,41.4433750139464,0.00563478262204251,2.94443897916644,0,3.74817083494643,0.00561896661978522,3,1.38629436111989,15.3851724951711,"A","A24",0,0.0750651891494487,1.73205080756888
"A24D",2005,38,3.66356164612965,3,1.38629436111989,72,4.29045944114839,7,7,2.07944154167984,2.07944154167984,14,0,9.94266136902674,0.00422448540857923,2.70805020110221,0,2.39266903697228,0.00421558732118698,5,1.79175946922805,15.3851725951711,"A","A24",0,0.0649960414839183,1.73205080756888
"A24F",2005,18,2.94443897916644,3,1.38629436111989,140,4.94875989037817,8,8,2.19722457733622,2.19722457733622,16,0,15.0422142950547,0.00512239622685535,2.83321334405622,0,2.7752236412307,0.00510932138597247,12,2.56494935746154,15.3851725951711,"A","A24",0,0.0715709174655136,1.73205080756888
"A41B",2005,41,3.73766961828337,5,1.79175946922805,124,4.8283137373023,19,19,2.99573227355399,2.99573227355399,38,0,70.6913052062486,0.00942730375522484,3.66356164612965,0,4.27236947395165,0.00938314404821275,3,1.38629436111989,15.3851725951711,"A","A41",0,0.0970943034128411,2.23606797749979
